project,version,criterion,original_tests,selected_tests,removed_tests,reduction_percent,coverage_elements,coverage_preserved
attrs,24.1.0,statement,1334,164,1170,87.706147,1775,True
attrs,24.1.0,branch,1334,189,1145,85.832084,2625,True
attrs,24.1.0,combined,1334,190,1144,85.757121,4400,True
attrs,25.3.0,statement,1346,163,1183,87.890045,1807,True
attrs,25.3.0,branch,1346,189,1157,85.958395,2669,True
attrs,25.3.0,combined,1346,189,1157,85.958395,4476,True
attrs,26.1.0,statement,1385,171,1214,87.65343,1930,True
attrs,26.1.0,branch,1385,198,1187,85.703971,2844,True
attrs,26.1.0,combined,1385,198,1187,85.703971,4774,True
cattrs,24.1.0,statement,789,113,676,85.678074,2475,True
cattrs,24.1.0,branch,789,120,669,84.790875,3677,True
cattrs,24.1.0,combined,789,120,669,84.790875,6152,True
cattrs,25.3.0,statement,937,123,814,86.872999,2601,True
cattrs,25.3.0,branch,937,134,803,85.699039,3903,True
cattrs,25.3.0,combined,937,135,802,85.592316,6504,True
cattrs,26.1.0,statement,972,129,843,86.728395,2707,True
cattrs,26.1.0,branch,972,141,831,85.493827,4079,True
cattrs,26.1.0,combined,972,141,831,85.493827,6786,True
boltons,24.1.0,statement,418,172,246,58.851675,3365,True
boltons,24.1.0,branch,418,178,240,57.416268,4656,True
boltons,24.1.0,combined,418,178,240,57.416268,8021,True
boltons,25.0.0,statement,422,176,246,58.293839,3386,True
boltons,25.0.0,branch,422,181,241,57.109005,4686,True
boltons,25.0.0,combined,422,181,241,57.109005,8072,True
boltons,26.1.0,statement,444,189,255,57.432432,3525,True
boltons,26.1.0,branch,444,196,248,55.855856,4876,True
boltons,26.1.0,combined,444,196,248,55.855856,8401,True
more-itertools,10.5.0,statement,664,242,422,63.554217,1679,True
more-itertools,10.5.0,branch,664,272,392,59.036145,2512,True
more-itertools,10.5.0,combined,664,272,392,59.036145,4191,True
more-itertools,10.8.0,statement,696,254,442,63.505747,1800,True
more-itertools,10.8.0,branch,696,286,410,58.908046,2699,True
more-itertools,10.8.0,combined,696,286,410,58.908046,4499,True
more-itertools,11.1.0,statement,722,260,462,63.98892,1893,True
more-itertools,11.1.0,branch,722,295,427,59.141274,2830,True
more-itertools,11.1.0,combined,722,295,427,59.141274,4723,True
