project,version,repetition,full_seconds,reduced_seconds,difference_seconds,runtime_reduction_pct,speedup,reduced_faster
attrs,24.1.0,1,12.025933500000974,4.1140454999986105,7.911888000002364,65.79021911273435,2.923140616700772,True
attrs,24.1.0,2,11.248408799998288,4.011708999998518,7.236699799999769,64.33532003211754,2.803894499825995,True
attrs,24.1.0,3,11.984312100001262,3.774939599999925,8.209372500001336,68.5009905574845,3.174703007169042,True
attrs,24.1.0,4,11.620463399998698,4.0902305000017805,7.530232899996918,64.80148545537143,2.8410289835728424,True
attrs,24.1.0,5,11.939598100001604,4.196317699999781,7.743280400001822,64.85377761585444,2.845255996704498,True
attrs,25.3.0,1,11.64284509999925,3.2475264000022435,8.395318699997006,72.10710636352576,3.5851425564981416,True
attrs,25.3.0,2,10.997554400000809,3.476533299999573,7.521021100001235,68.3881236359302,3.163368059785925,True
attrs,25.3.0,3,11.12663210000028,3.5614215999994485,7.565210500000832,67.99191733858659,3.1242108769155563,True
attrs,25.3.0,4,11.229202100003022,3.3217690999990737,7.907433000003948,70.41847612665035,3.3804884571917273,True
attrs,25.3.0,5,11.616287799999554,3.3817266000005475,8.234561199999007,70.88806115839625,3.4350168342992817,True
attrs,26.1.0,1,11.583346999999776,3.567912599999545,8.015434400000231,69.1979131765662,3.2465332811126744,True
attrs,26.1.0,2,11.483291100001225,3.400451700003032,8.082839399998193,70.38782984433209,3.376989915778244,True
attrs,26.1.0,3,11.729735200002324,3.538113900001917,8.191621300000406,69.83637021915706,3.315250874200508,True
attrs,26.1.0,4,11.53581960000156,3.2309002000001783,8.304919400001381,71.99245210110826,3.570466088677367,True
attrs,26.1.0,5,11.212898399997355,3.689506799997616,7.523391599999739,67.09586880767165,3.0391320596033595,True
cattrs,24.1.0,1,524.4766664000017,96.78161650000038,427.6950499000013,81.54701196445828,5.419176547851933,True
cattrs,24.1.0,2,525.7591128000022,108.36495490000016,417.394157900002,79.38885845974447,4.851744858706174,True
cattrs,24.1.0,3,567.3568990999993,92.00006649999705,475.35683260000224,83.7844456203957,6.166918358695072,True
cattrs,24.1.0,4,557.8186177999996,81.67970050000076,476.13891729999887,85.35730112018487,6.829342105631183,True
cattrs,24.1.0,5,535.9975730999977,110.14808239999913,425.84949069999857,79.44989158011552,4.866154375284903,True
cattrs,25.3.0,1,200.33396750000247,41.34716549999939,158.98680200000308,79.36088122449884,4.845168104691612,True
cattrs,25.3.0,2,219.6176733999964,40.20197850000113,179.41569489999526,81.69456133579011,5.462857341709941,True
cattrs,25.3.0,3,202.08151250000083,43.62736199999927,158.45415050000156,78.41100778578195,4.6319901831333326,True
cattrs,25.3.0,4,211.7913350999952,41.09268139999767,170.69865369999752,80.59756251095156,5.153991608345304,True
cattrs,25.3.0,5,214.10940899999696,42.39596610000444,171.71344289999251,80.19892432657873,5.050230686923172,True
cattrs,26.1.0,1,216.2269582000008,42.24269080000522,173.9842673999956,80.46372609980828,5.118683353380843,True
cattrs,26.1.0,2,212.77888840000375,43.0873763999989,169.69151200000485,79.75016378551672,4.938311546859678,True
cattrs,26.1.0,3,221.9026778999978,44.43818359999568,177.46449430000212,79.97402103456268,4.993513684029591,True
cattrs,26.1.0,4,225.66960060000565,47.7463093999977,177.92329120000795,78.84238316855668,4.726430240072472,True
cattrs,26.1.0,5,232.23675889999868,44.95277840000199,187.2839804999967,80.64355590694466,5.166238154035622,True
boltons,24.1.0,1,2.1220991000009235,1.9080975000033504,0.21400159999757307,10.084430081398175,1.1121544365511706,True
boltons,24.1.0,2,1.968381099999533,1.9380030000029365,0.030378099996596575,1.543303783835548,1.015674949933798,True
boltons,24.1.0,3,2.069902799994452,1.9553485000069488,0.1145542999875031,5.534284024728609,1.058585106433506,True
boltons,24.1.0,4,2.0243503999954555,1.978341599999112,0.04600879999634344,2.2727685877132107,1.0232562465432482,True
boltons,24.1.0,5,1.899246499997389,1.9475935000009488,-0.04834700000355974,-2.5455884743568675,0.9751760313414806,False
boltons,25.0.0,1,2.070750400001998,1.9728991000010865,0.09785130000091158,4.725402926437544,1.049597721444983,True
boltons,25.0.0,2,2.1138458999994327,2.0309246000033454,0.08292129999608733,3.9227693937438666,1.040829334577931,True
boltons,25.0.0,3,2.023845199997595,1.8974059999964084,0.1264392000011867,6.247473868126719,1.0666379256740128,True
boltons,25.0.0,4,2.007763599998725,1.938179899996612,0.06958370000211311,3.465731722706662,1.0359015693033629,True
boltons,25.0.0,5,1.993564600001264,1.9174297000063236,0.07613489999494027,3.8190335038499383,1.0397067490895178,True
boltons,26.1.0,1,2.5546045000010054,2.5027593999984674,0.05184510000253795,2.029476578566958,1.0207151754190074,True
boltons,26.1.0,2,2.5197397000010824,2.374662400005036,0.14507729999604635,5.757630440794501,1.0610938632774658,True
boltons,26.1.0,3,2.518746399997326,2.463117500003136,0.055628899994190295,2.2085947197482585,1.0225847528565404,True
boltons,26.1.0,4,2.484099000001152,2.397112999999081,0.08698600000207124,3.5017122909365086,1.0362878178884787,True
boltons,26.1.0,5,2.5882208999973955,2.391054200001236,0.19716669999615943,7.617846683656633,1.0824601550211859,True
more-itertools,10.5.0,1,2.4916316000017105,1.6509790000054636,0.8406525999962469,33.73904071515507,1.509184308215589,True
