project,version,original_tests,selected_tests,removed_tests,test_count_reduction_pct,coverage_preserved_pct,random_mean_coverage_pct,median_runtime_reduction_pct,median_speedup
attrs,24.1.0,1334,190,1144,85.757121,100.0,74.49,65.7423100363719,2.9190526304071143
attrs,25.3.0,1346,189,1157,85.958395,100.0,74.42,69.88453347010615,3.320552909274571
attrs,26.1.0,1385,198,1187,85.703971,100.0,75.08,69.32932359655278,3.2604432548074014
cattrs,24.1.0,789,120,669,84.790875,100.0,77.4,81.94364650939484,5.538216786242618
cattrs,25.3.0,937,135,802,85.592316,100.0,77.87,80.47740457347902,5.122269750268572
cattrs,26.1.0,972,141,831,85.493827,100.0,77.69,79.97402103456268,4.993513684029591
boltons,24.1.0,418,178,240,57.416268,100.0,64.87,3.7916805309337285,1.0394111502192163
boltons,25.0.0,422,181,241,57.109005,100.0,64.87,4.232799030335167,1.0441988383024365
boltons,26.1.0,444,196,248,55.855856,100.0,66.74,4.866641582142351,1.051155994732851
more-itertools,10.5.0,664,272,392,59.036145,100.0,74.02,31.26942163226599,1.4549564746125518
more-itertools,10.8.0,696,286,410,58.908046,100.0,74.1,18.77368159536503,1.231128062481455
more-itertools,11.1.0,722,295,427,59.141274,100.0,73.53,12.198807101521405,1.1389366897967599
