project,version,status,criterion,selected_tests,measured_repetitions_per_suite,warmup_runs_per_suite,execution_order,coverage_instrumentation,full_mean_seconds,full_median_seconds,reduced_mean_seconds,reduced_median_seconds,median_runtime_reduction_percent,mean_runtime_reduction_percent,median_speedup,repository,python_executable,pythonpath,full_stdev_seconds,reduced_stdev_seconds,paired_mean_runtime_reduction_percent,all_exit_codes_zero,completed_at
attrs,24.1.0,PASS,combined_statement_branch,190,5,1,alternating,False,11.763743180000166,11.939598100001604,4.037448459999723,4.0902305000017805,65.7423100363719,65.6788796030171,2.9190526304071143,,,,,,,,
attrs,25.3.0,PASS,combined_statement_branch,189,5,1,alternating,False,11.322504300000583,11.229202100003022,3.3977954000001773,3.3817266000005475,69.88453347010615,69.99077845349105,3.320552909274571,<LOCAL_WORKSPACE>\attrs\25.3.0,<LOCAL_WORKSPACE>\_baseline_py312\attrs-25.3.0\Scripts\python.exe,,0.2922287758685986,0.12408884640468434,69.95873692461782,True,2026-09-15T21:13:14.876900
attrs,26.1.0,PASS,combined_statement_branch,198,5,1,alternating,False,11.509018260000449,11.53581960000156,3.485377040000458,3.5381139000019175,69.32932359655278,69.71612207694663,3.260443254807401,<LOCAL_WORKSPACE>\attrs\26.1.0,<LOCAL_WORKSPACE>\_baseline_py312\attrs-26.1.0\Scripts\python.exe,,0.1892801490314095,0.17552281151881674,69.70208682976705,True,2026-09-15T21:14:44.934402
cattrs,24.1.0,PASS,combined_statement_branch,120,5,1,alternating,False,542.2817738400001,535.9975730999977,97.7948841599995,96.78161650000038,81.94364650939484,81.96603889754668,5.538216786242618,<LOCAL_WORKSPACE>\cattrs\24.1.0,<LOCAL_WORKSPACE>\_historical_venvs\cattrs-24.1.0-locked\Scripts\python.exe,<LOCAL_WORKSPACE>\cattrs\24.1.0\src,19.362765716544867,11.817716252139352,81.90550174897976,True,2026-09-15T22:18:18.562089
cattrs,25.3.0,PASS,combined_statement_branch,135,5,1,alternating,False,209.58677949999839,211.7913350999952,41.733030700000384,41.34716549999939,80.47740457347902,80.08794695945949,5.122269750268572,<LOCAL_WORKSPACE>\cattrs\25.3.0,<LOCAL_WORKSPACE>\_git_venvs\cattrs-25.3.0\Scripts\python.exe,<LOCAL_WORKSPACE>\cattrs\25.3.0\src,8.183468672715641,1.316342891920862,80.05258743672024,True,2026-09-15T22:43:22.946222
cattrs,26.1.0,PASS,combined_statement_branch,141,5,1,alternating,False,221.76297680000135,221.9026778999978,44.4934677199999,44.43818359999568,79.97402103456268,79.93647615935157,4.993513684029591,<LOCAL_WORKSPACE>\cattrs\26.1.0,<LOCAL_WORKSPACE>\_git_venvs\cattrs-26.1.0\Scripts\python.exe,<LOCAL_WORKSPACE>\cattrs\26.1.0\src,7.686720427283139,2.111758223233806,79.93476999907782,True,2026-09-15T23:10:03.033443
boltons,24.1.0,PASS,combined_statement_branch,178,5,1,alternating,False,2.016795979997551,2.0243503999954555,1.9454768200026593,1.9475935000009486,3.7916805309337396,3.536260519270674,1.0394111502192165,<LOCAL_WORKSPACE>\boltons\24.1.0,<LOCAL_WORKSPACE>\_baseline_py312\boltons-24.1.0\Scripts\python.exe,,0.08678714122446884,0.025666591678368957,3.3778396006637394,True,2026-09-15T23:10:27.619639
boltons,25.0.0,PASS,combined_statement_branch,181,5,1,alternating,False,2.041953939999803,2.023845199997595,1.9513678600007551,1.9381798999966122,4.2327990303351575,4.4362450212298326,1.0441988383024365,<LOCAL_WORKSPACE>\boltons\25.0.0,<LOCAL_WORKSPACE>\_baseline_py312\boltons-25.0.0\Scripts\python.exe,,0.04958861779833521,0.05251302815444672,4.436082282972945,True,2026-09-15T23:10:51.867844
boltons,26.1.0,PASS,combined_statement_branch,196,5,1,alternating,False,2.533082099999592,2.5197397000010824,2.425741300001391,2.397112999999081,4.866641582142351,4.237557085031633,1.051155994732851,<LOCAL_WORKSPACE>\boltons\26.1.0,<LOCAL_WORKSPACE>\_baseline_py312\boltons-26.1.0\Scripts\python.exe,,0.03964333797988957,0.0546822561394709,4.223052142740568,True,2026-09-15T23:11:22.116447
more-itertools,10.5.0,PASS,combined_statement_branch,272,5,1,alternating,False,2.5358128200023202,2.5125977999996394,1.7536562599998433,1.7269229999947129,31.26942163226599,30.844412246553798,1.4549564746125518,<LOCAL_WORKSPACE>\more_itertools\10.5.0,<LOCAL_WORKSPACE>\_baseline_py312\more_itertools-10.5.0\Scripts\python.exe,,0.046465716415197145,0.09913156061304852,30.88179842441234,True,2026-09-15T23:11:48.180882
more-itertools,10.8.0,PASS,combined_statement_branch,286,5,1,alternating,False,19.417236260001665,19.458174899998994,15.933185660000891,15.805159100003948,18.773681595365016,17.94308187503341,1.2311280624814547,<LOCAL_WORKSPACE>\more_itertools\10.8.0,<LOCAL_WORKSPACE>\_baseline_py312\more_itertools-10.8.0\Scripts\python.exe,,0.4643148672854015,0.3599055978344003,17.914162934338048,True,2026-09-15T23:15:21.409958
more-itertools,11.1.0,PASS,combined_statement_branch,295,5,1,alternating,False,24.381791579999845,24.396728100000473,21.356157760000496,21.42061829999875,12.198807101521393,12.409399079931633,1.1389366897967599,<LOCAL_WORKSPACE>\more_itertools\11.1.0,<LOCAL_WORKSPACE>\_baseline_py312\more_itertools-11.1.0\Scripts\python.exe,,0.12164165707548434,0.8046683164543164,12.406909402296325,True,2026-09-15T23:19:56.439987
